matrix_id,mean_0_kernel_execution_time,min_0_kernel_execution_time,max_0_kernel_execution_time,mse_0_kernel_execution_time,stddev_0_kernel_execution_time
bcircuit,1.788100,1.725000,1.864000,0.002020,0.044943
bcsstk14,1.874800,1.716000,2.414000,0.060070,0.245091
boyd2,1.983900,1.763000,3.500000,0.257238,0.507186
memplus,2.021600,1.738000,4.225000,0.539803,0.734713
net100,2.503400,1.753000,8.886000,4.527046,2.127686
net125,1.995200,1.767000,3.360000,0.217043,0.465878
net150,2.019200,1.789000,3.572000,0.268905,0.518560
net25,1.855800,1.759000,2.390000,0.032303,0.179731
net50,1.785500,1.747000,1.841000,0.001031,0.032113
net75,1.790200,1.741000,1.838000,0.000894,0.029906
scircuit,1.813400,1.769000,1.863000,0.001108,0.033281
