matrix_id,mean_0_kernel_execution_time,min_0_kernel_execution_time,max_0_kernel_execution_time,mse_0_kernel_execution_time,stddev_0_kernel_execution_time
bcircuit,0.037000,0.035000,0.042000,0.000004,0.001897
bcsstk14,0.022500,0.020000,0.028000,0.000006,0.002377
boyd2,0.049400,0.047000,0.055000,0.000006,0.002417
memplus,0.029600,0.027000,0.034000,0.000006,0.002417
net100,0.042600,0.042000,0.044000,0.000001,0.000800
net125,0.045200,0.043000,0.051000,0.000005,0.002272
net150,0.048100,0.046000,0.050000,0.000001,0.001221
net25,0.031500,0.030000,0.034000,0.000002,0.001565
net50,0.034200,0.033000,0.036000,0.000001,0.000872
net75,0.039300,0.037000,0.043000,0.000004,0.002002
scircuit,0.046600,0.044000,0.051000,0.000003,0.001855
