matrix_id,mean_0_kernel_mflops,min_0_kernel_mflops,max_0_kernel_mflops,mse_0_kernel_mflops,stddev_0_kernel_mflops
bcircuit,420.200000,403.000000,435.000000,110.560000,10.514752
bcsstk14,35.300000,27.000000,38.000000,15.610000,3.950949
boyd2,934.000000,509.000000,1010.000000,20582.000000,143.464281
memplus,134.000000,60.000000,145.000000,610.800000,24.714368
net100,1058.400000,232.000000,1177.000000,76145.840000,275.945357
net125,1357.700000,778.000000,1479.000000,42193.610000,205.410832
net150,1631.400000,886.000000,1769.000000,62605.440000,250.210791
net25,222.900000,172.000000,233.000000,296.690000,17.224692
net50,538.500000,522.000000,550.000000,89.450000,9.457801
net75,845.200000,823.000000,869.000000,198.160000,14.076931
scircuit,1057.900000,1030.000000,1084.000000,375.290000,19.372403
