matrix_id,mean_0_nnz,min_0_nnz,max_0_nnz,mse_0_nnz,stddev_0_nnz
bcircuit,375558.000000,375558.000000,375558.000000,0.000000,0.000000
bcsstk14,32630.000000,32630.000000,32630.000000,0.000000,0.000000
boyd2,890091.000000,890091.000000,890091.000000,0.000000,0.000000
memplus,126150.000000,126150.000000,126150.000000,0.000000,0.000000
net100,1031560.000000,1031560.000000,1031560.000000,0.000000,0.000000
net125,1306960.000000,1306960.000000,1306960.000000,0.000000,0.000000
net150,1582360.000000,1582360.000000,1582360.000000,0.000000,0.000000
net25,205360.000000,205360.000000,205360.000000,0.000000,0.000000
net50,480760.000000,480760.000000,480760.000000,0.000000,0.000000
net75,756160.000000,756160.000000,756160.000000,0.000000,0.000000
scircuit,958936.000000,958936.000000,958936.000000,0.000000,0.000000
