matrix_id,mean_total_execution_time,min_total_execution_time,max_total_execution_time,mse_total_execution_time,stddev_total_execution_time
bcircuit,31.560900,27.805000,37.692000,9.278596,3.046079
bcsstk14,5.153000,3.412000,10.207000,3.825695,1.955938
boyd2,53.847100,51.167000,60.158000,6.365771,2.523048
memplus,9.806100,7.696000,14.560000,2.851682,1.688693
net100,55.483700,54.348000,58.657000,1.417652,1.190652
net125,79.927800,78.254000,82.031000,1.365209,1.168421
net150,85.701200,84.211000,87.254000,0.989691,0.994832
net25,12.279300,11.418000,13.711000,0.897248,0.947232
net50,29.118500,24.957000,55.904000,80.650718,8.980574
net75,42.563600,39.806000,45.517000,2.391730,1.546522
scircuit,57.205800,55.723000,59.603000,1.226293,1.107381
