matrix_id,mean_total_execution_time,min_total_execution_time,max_total_execution_time,mse_total_execution_time,stddev_total_execution_time
bcircuit,24.737400,23.092000,28.381000,2.473491,1.572734
bcsstk14,5.416400,3.283000,9.121000,3.492275,1.868763
boyd2,50.429000,48.512000,52.181000,2.116100,1.454682
memplus,8.443200,7.610000,10.651000,1.146115,1.070567
net100,58.392100,52.484000,104.464000,236.120998,15.366229
net125,77.414300,74.823000,84.756000,8.364215,2.892095
net150,84.760900,83.627000,86.501000,0.786745,0.886986
net25,11.582200,11.344000,12.546000,0.109471,0.330864
net50,25.595700,24.858000,26.633000,0.297870,0.545774
net75,40.185900,39.775000,40.826000,0.115494,0.339844
scircuit,53.995200,52.307000,55.505000,0.836615,0.914667
