matrix_id,mean_total_mflops,min_total_mflops,max_total_mflops,mse_total_mflops,stddev_total_mflops
bcircuit,30.400000,26.000000,33.000000,3.840000,1.959592
bcsstk14,13.500000,7.000000,20.000000,22.250000,4.716991
boyd2,35.300000,34.000000,37.000000,1.410000,1.187434
memplus,30.400000,24.000000,33.000000,11.040000,3.322650
net100,36.800000,20.000000,39.000000,31.560000,5.617829
net125,33.700000,31.000000,35.000000,1.610000,1.268858
net150,37.500000,37.000000,38.000000,0.250000,0.500000
net25,35.600000,33.000000,36.000000,0.840000,0.916515
net50,37.700000,36.000000,39.000000,0.810000,0.900000
net75,37.600000,37.000000,38.000000,0.240000,0.489898
scircuit,35.700000,35.000000,37.000000,0.410000,0.640312
