matrix_id,mean_0_kernel_mflops,min_0_kernel_mflops,max_0_kernel_mflops,mse_0_kernel_mflops,stddev_0_kernel_mflops
bcircuit,9997.000000,9186.000000,11135.000000,395207.200000,628.655072
bcsstk14,1342.900000,1238.000000,1474.000000,3794.490000,61.599432
boyd2,18038.600000,16833.000000,21462.000000,1588891.640000,1260.512451
memplus,4537.500000,4114.000000,4937.000000,73258.450000,270.662982
net100,25110.600000,23428.000000,27983.000000,1347297.440000,1160.731425
net125,29772.100000,28463.000000,32021.000000,1665755.890000,1290.641658
net150,33616.000000,32878.000000,35937.000000,809046.200000,899.469955
net25,7753.900000,7071.000000,8203.000000,117590.890000,342.915281
net50,14457.700000,13809.000000,15145.000000,165007.210000,406.210795
net75,25047.100000,21852.000000,26534.000000,2737124.290000,1654.425668
scircuit,24468.600000,22396.000000,26129.000000,869671.840000,932.561976
