matrix_id,mean_0_nnz,min_0_nnz,max_0_nnz,mse_0_nnz,stddev_0_nnz
bcircuit,188133.000000,188133.000000,188133.000000,0.000000,0.000000
bcsstk14,15848.000000,15848.000000,15848.000000,0.000000,0.000000
boyd2,439550.000000,439550.000000,439550.000000,0.000000,0.000000
memplus,63196.000000,63196.000000,63196.000000,0.000000,0.000000
net100,515780.000000,515780.000000,515780.000000,0.000000,0.000000
net125,655792.000000,655792.000000,655792.000000,0.000000,0.000000
net150,791180.000000,791180.000000,791180.000000,0.000000,0.000000
net25,104992.000000,104992.000000,104992.000000,0.000000,0.000000
net50,240380.000000,240380.000000,240380.000000,0.000000,0.000000
net75,380392.000000,380392.000000,380392.000000,0.000000,0.000000
scircuit,481614.000000,481614.000000,481614.000000,0.000000,0.000000
