matrix_id,mean_total_execution_time,min_total_execution_time,max_total_execution_time,mse_total_execution_time,stddev_total_execution_time
bcircuit,28.468300,26.591000,31.675000,2.267897,1.505954
bcsstk14,6.376900,5.152000,8.145000,0.712175,0.843905
boyd2,74.828900,71.821000,80.784000,11.415651,3.378706
memplus,10.201800,9.725000,11.345000,0.267408,0.517115
net100,75.613800,74.078000,78.104000,1.431343,1.196387
net125,91.079300,89.237000,94.578000,2.955900,1.719273
net150,104.310600,102.059000,107.380000,3.355262,1.831737
net25,20.861200,20.349000,22.470000,0.413066,0.642702
net50,39.212300,37.249000,42.777000,2.534544,1.592025
net75,54.426200,52.788000,60.974000,5.914185,2.431910
scircuit,55.879400,55.104000,56.601000,0.183844,0.428771
