matrix_id,mean_1_kernel_mflops,min_1_kernel_mflops,max_1_kernel_mflops,mse_1_kernel_mflops,stddev_1_kernel_mflops
bcircuit,44.800000,42.000000,50.000000,6.560000,2.561250
bcsstk14,703.200000,626.000000,775.000000,3275.760000,57.234255
boyd2,6065.600000,5553.000000,6900.000000,167367.640000,409.105903
memplus,1350.400000,1196.000000,1508.000000,8689.040000,93.215020
net100,14202.600000,8561.000000,19873.000000,16090268.640000,4011.267710
net125,17322.400000,14878.000000,19185.000000,1465845.840000,1210.721207
net150,22215.600000,18786.000000,28179.000000,7992022.840000,2827.016597
net25,151.400000,137.000000,172.000000,85.840000,9.264988
net50,9107.500000,7792.000000,10163.000000,727388.850000,852.870946
net75,13531.700000,10678.000000,15195.000000,2348473.210000,1532.472907
scircuit,14558.000000,12084.000000,17084.000000,3403013.600000,1844.725887
