matrix_id,mean_2_nnz,min_2_nnz,max_2_nnz,mse_2_nnz,stddev_2_nnz
bcircuit,94558.000000,94558.000000,94558.000000,0.000000,0.000000
bcsstk14,8703.000000,8703.000000,8703.000000,0.000000,0.000000
boyd2,307196.000000,307196.000000,307196.000000,0.000000,0.000000
memplus,17884.000000,17884.000000,17884.000000,0.000000,0.000000
net100,530920.000000,530920.000000,530920.000000,0.000000,0.000000
net125,647660.000000,647660.000000,647660.000000,0.000000,0.000000
net150,769680.000000,769680.000000,769680.000000,0.000000,0.000000
net25,100640.000000,100640.000000,100640.000000,0.000000,0.000000
net50,249560.000000,249560.000000,249560.000000,0.000000,0.000000
net75,403120.000000,403120.000000,403120.000000,0.000000,0.000000
scircuit,283242.000000,283242.000000,283242.000000,0.000000,0.000000
