matrix_id,mean_3_kernel_execution_time,min_3_kernel_execution_time,max_3_kernel_execution_time,mse_3_kernel_execution_time,stddev_3_kernel_execution_time
bcircuit,4.452600,3.639000,5.747000,0.302555,0.550050
bcsstk14,0.025900,0.023000,0.030000,0.000008,0.002879
boyd2,0.037200,0.035000,0.040000,0.000002,0.001400
memplus,0.030200,0.025000,0.035000,0.000011,0.003311
net100,0.045300,0.027000,0.112000,0.000720,0.026826
net125,0.042800,0.037000,0.048000,0.000007,0.002713
net150,0.044200,0.033000,0.073000,0.000122,0.011053
net25,0.027500,0.025000,0.029000,0.000001,0.001204
net50,0.028400,0.027000,0.032000,0.000003,0.001685
net75,0.034000,0.027000,0.069000,0.000139,0.011807
scircuit,0.037300,0.033000,0.050000,0.000023,0.004776
