matrix_id,mean_total_mflops,min_total_mflops,max_total_mflops,mse_total_mflops,stddev_total_mflops
bcircuit,16.100000,15.000000,18.000000,0.890000,0.943398
bcsstk14,14.800000,2.000000,20.000000,34.360000,5.861740
boyd2,35.200000,34.000000,37.000000,0.960000,0.979796
memplus,29.200000,24.000000,32.000000,8.960000,2.993326
net100,32.500000,32.000000,33.000000,0.250000,0.500000
net125,32.600000,32.000000,33.000000,0.240000,0.489898
net150,34.300000,34.000000,35.000000,0.210000,0.458258
net25,30.200000,29.000000,31.000000,0.560000,0.748331
net50,34.100000,33.000000,36.000000,1.090000,1.044031
net75,33.600000,33.000000,35.000000,0.440000,0.663325
scircuit,47.000000,45.000000,49.000000,1.800000,1.341641
