matrix_id,mean_total_mflops,min_total_mflops,max_total_mflops,mse_total_mflops,stddev_total_mflops
bcircuit,23.700000,11.000000,38.000000,118.610000,10.890822
bcsstk14,3.900000,1.000000,8.000000,6.290000,2.507987
boyd2,34.100000,32.000000,35.000000,1.290000,1.135782
memplus,15.900000,10.000000,20.000000,14.090000,3.753665
net100,31.100000,27.000000,33.000000,2.490000,1.577973
net125,32.200000,30.000000,33.000000,0.960000,0.979796
net150,33.400000,31.000000,35.000000,1.240000,1.113553
net25,23.500000,17.000000,28.000000,12.050000,3.471311
net50,29.500000,19.000000,34.000000,20.250000,4.500000
net75,31.700000,27.000000,34.000000,3.810000,1.951922
scircuit,41.800000,26.000000,48.000000,50.760000,7.124605
